"NRSA_ID","MMI_BENT","BENT_MMI_COND","AGGR_ECO9_2015","STATE","ALB_X","ALB_Y","LON_DD83","LAT_DD83","YEAR","DATE_COL"
"FW08MT004",87.25,"Good","NPL","MT",-1111446.24059141,2809094.17378513,-110.716426065,47.4990079642,2008,"17Jul2008"
"FW08MT005",59,"Good","WMT","MT",-1350310.16139334,2671105.60166846,-113.48093714,45.9072329712,2008,"09Sep2008"
"FW08MT006",45.73,"Fair","NPL","MT",-836966.672697079,2928388.64300853,-107.308237048,48.9118062193,2009,"23Jun2009"
"FW08MT007",49.33,"Fair","WMT","MT",-1415804.79639083,2771551.01439436,-114.558958789,46.6854406233,2008,"29Sep2008"
"FW08MT008",51.98,"Fair","NPL","MT",-1060405.21014499,2661652.11385891,-109.769585953,46.2508686764,2008,"23Jul2008"
"FW08MT010",45.38,"Fair","WMT","MT",-1250042.67592714,2799890.93971884,-112.495901645,47.2118541155,2009,"17Aug2009"
"FW08MT012",42.98,"Fair","NPL","MT",-712499.030681522,2838552.21074821,-105.517751694,48.2239098328,2009,"20May2009"
"FW08MT013",27.77,"Poor","NPL","MT",-961121.746542814,2610033.24277531,-108.408797687,45.9129353624,2008,"25Sep2008"
"FW08MT014",70.6,"Good","WMT","MT",-1184704.87216706,2774158.80380239,-111.594327164,47.0817772176,2008,"01Jul2008"
"FW08MT015",77.28,"Good","WMT","MT",-1453981.9886038,2838194.74689217,-115.220464959,47.2076156991,2009,"07Jul2009"
"FW08MT017",60,"Good","WMT","MT",-1330229.26796992,2942639.20024786,-113.880805764,48.3535643159,2009,"06Jul2009"
"FW08MT019",58.05,"Good","NPL","MT",-1010160.97306553,2880061.15837664,-109.5269269,48.2711417194,2009,"22Jul2009"
"FW08MT020",60.72,"Good","WMT","MT",-1493822.52955016,2936504.45374861,-116.001667184,48.0050490296,2008,"30Sep2008"
"FW08MT022",65.73,"Good","WMT","MT",-1423409.77311995,2816059.86635206,-114.769850216,47.066361551,2009,"08Jul2009"
"FW08MT023",69.15,"Good","NPL","MT",-1088275.45474751,2619410.12935862,-110.045797008,45.8376859126,2008,"24Jul2008"
